Disease Category,Disease,Year,Month,Cases
Direct Contact and Respiratory,Pneumococcal disease,2022,June,12
Direct Contact and Respiratory,Pneumococcal disease,2022,July,8
Direct Contact and Respiratory,Pneumococcal disease,2022,August,3
Direct Contact and Respiratory,Pneumococcal disease,2022,September,15
Direct Contact and Respiratory,Pneumococcal disease,2022,October,20
Direct Contact and Respiratory,Pneumococcal disease,2022,November,37
Direct Contact and Respiratory,Pneumococcal disease,2022,December,29
Direct Contact and Respiratory,Tuberculosis,2022,January,19
Direct Contact and Respiratory,Tuberculosis,2022,February,25
Direct Contact and Respiratory,Tuberculosis,2022,March,23
Direct Contact and Respiratory,Tuberculosis,2022,April,25
Direct Contact and Respiratory,Tuberculosis,2022,May,18
Direct Contact and Respiratory,Tuberculosis,2022,June,27
Direct Contact and Respiratory,Tuberculosis,2022,July,24
Direct Contact and Respiratory,Tuberculosis,2022,August,31
Direct Contact and Respiratory,Tuberculosis,2022,September,32
Direct Contact and Respiratory,Tuberculosis,2022,October,20
Direct Contact and Respiratory,Tuberculosis,2022,November,24
Direct Contact and Respiratory,Tuberculosis,2022,December,31
